Item,Mois,Montant,MonthLabel_en,StartOfMonth
Zircone Multi-couche (Délai 2) / Multilayer Dmax zircone,Apr,9750.0,Apr,
Inlay Core (Délai 2) / Post Core,Apr,10950.0,Apr,
Zircone Multi-couche (Délai 1) / Multilayer Dmax zircone,Apr,10150.0,Apr,
Zircone Stratifié (Délai 1) / Zircone coping+porcelain,Apr,12600.0,Apr,
Zircone Mono (délai 2) / Xtcera full zircone,Apr,9185.0,Apr,
Stellite Finition Direct (délai 2) / CCP + Acrylic direct finish,Apr,7810.0,Apr,
Inlay/Onlay Composite (Délai 2),Apr,11160.0,Apr,
Zircone Mono (délai 1) / Xtcera full zircone,Apr,10740.0,Apr,
Stellite Finition Direct (Délai 1) / CCP + Acrylic direct finish,Apr,6750.0,Apr,
Inlay Core (Délai 1) / Post Core,Apr,8295.0,Apr,
Partiel Résine Finition Directe (délais 2) / Partial acrylic denture,Apr,6160.0,Apr,
Céramo-métallique (délai 1) / PFM,Apr,9450.0,Apr,
Dents Supplémentaires (délai 2) / Tooth,Apr,4755.0,Apr,
Emax (Délai 2) / Emax Press,Apr,6240.0,Apr,
Partiel résine finition directe (délais 1) / Partial acrylic denture,Apr,5740.0,Apr,
Emax Onlay high translucide  HT(Délai 1),Apr,5590.0,Apr,
Complet Finition Direct (délai 2) / Full Acrylic denture,Apr,5720.0,Apr,
Inlay/Onlay composite (Délai 1),Apr,6667.0,Apr,
Emax Onlay high translucide  HT (Délai 2),Apr,3680.0,Apr,
Emax (Délai 1) / Emax Press,Apr,4390.0,Apr,
Dents supplémentaires (Délai 1) / Tooth,Apr,3256.0,Apr,
Stellite en Essayage (délai 2) / CCP + Wax Try in setup,Apr,2200.0,Apr,
Montage complet sur cire (essayage Délai 2) / Full wax try setup denture,Apr,3080.0,Apr,
Rajout Crochet,Apr,3000.0,Apr,
Provisoire (Délai 1) / Temporary Crown,Apr,2550.0,Apr,
Supplément Cr sur implant (délai 2) / Screwed Crown,Apr,1880.0,Apr,
Gouttière Bruxisme mixte (souple/dur) (Délai 1) / Hard & Soft Night Guard Tray,Apr,2360.0,Apr,
Montage Complet sur cire (essayage Délai 1) / Full wax try setup denture,Apr,3060.0,Apr,
Provisoire (Délai 2) / Temporary Crown,Apr,800.0,Apr,
Complet Finition Direct (délai 1) / Full Acrylic denture,Apr,2860.0,Apr,
Finition Résine (Délai 1) / Acrylic finish,Apr,1760.0,Apr,
Réparation ou Adjonction (Délai 1),Apr,2040.0,Apr,
Stellite en Essayage (délai 1) / CCP + Wax Try in setup,Apr,1260.0,Apr,
Finition Résine (Délai 2) / Acrylic finish,Apr,1435.0,Apr,
Couronne Métallique (délai 2) / Cocr Metal crown,Apr,2000.0,Apr,
Gouttière Blanchiment (Délai 1) / Bleaching tray,Apr,2100.0,Apr,
Valplast (Délai 2) / Flibber Valplast Direct Finish,Apr,1120.0,Apr,
Supplément Cr sur implant (délai 1) / Screwed Crown,Apr,1450.0,Apr,
Valplast (Délai 1) / Flibber Valplast Direct Finish,Apr,1120.0,Apr,
Complet Transvissé Résine avec Barre Coulée CoCr / Complet Screwed Wax Try-in setup on casted CoCr Bar with Gingival Side in a BOAT HULL Form (Délai 2),Apr,1200.0,Apr,
Emax stratifiée (Délai 2) / Emax Copying,Apr,770.0,Apr,
Gouttière Bruxisme (Délai 1) / Only HARD Night guard tray,Apr,1715.0,Apr,
Complet Transvissé Résine Essayage avec Barre Titane / Complet Screwed Wax Try-in setup on TITANE bar with Gingival Side in a BOAT HULL form,Apr,2800.0,Apr,
Gouttière Contention Ortho/ Contention Tray,Apr,1360.0,Apr,
Emax stratifiée (Délai 1) / Emax Copying,Apr,1120.0,Apr,
Complet Transvissé Zircone CTZ (Délai 1) / Bridge screwed retainer Full Zircone,Apr,0.0,Apr,
MCI Pmma,Apr,0.0,Apr,
Couronne Métallique (délai 1) / Cocr Metal crown,Apr,585.0,Apr,
Essayage Complet sur barre usinée TITANE avec Locators (Barre Contre Barre) / Complet Wax Try-in with counter Bar fitting on MILLED TITANE Bar with LOCATORS (Délai 2),Apr,0.0,Apr,
Option Maquillage Supplémentaire / Additional Shade,Apr,300.0,Apr,
Option ceramisé / Opaqued,Apr,580.0,Apr,
Soudure,Apr,540.0,Apr,
Rajout Dent / Tooth,Apr,560.0,Apr,
Custom Billing,Apr,450.0,Apr,
Pilier personnalisé,Apr,750.0,Apr,
Finition Résine CTR (Délai 1),Apr,800.0,Apr,
Wax Up (Délai 1) / Mock Up,Apr,120.0,Apr,
Attachement,Apr,600.0,Apr,
SSA Zircone MULTI,Apr,0.0,Apr,
Barre (fil) contention / contention wire,Apr,400.0,Apr,
PEI (délai 2) / Custom Impression Tray,Apr,270.0,Apr,
Gouttière Bruxisme SOUPLE (Délai 2) / SOFT Guard Tray,Apr,140.0,Apr,
Option Fraisé / Milled Wall,Apr,480.0,Apr,
PEI (délai 1) / Custom Impression Tray,Apr,200.0,Apr,
Gouttières Ortho / Orthodontic Tray,Apr,240.0,Apr,
Délai Express - 1 jour + 25%,Apr,280.0,Apr,
Partiel cire essayage (délai 2) / Partial wax try in setup denture,Apr,70.0,Apr,
Cire (délai 2) / Wax Rim,Apr,280.0,Apr,
Chape guide réduction,Apr,150.0,Apr,
Cire (délai 1) / Wax Rim,Apr,180.0,Apr,
CTCCM complet transvissé CCM / COMPLET SCREWED PFM BRIDGE,Apr,1300.0,Apr,
Partiel cire essayage (délai 1) / Partial wax try in setup denture,Apr,380.0,Apr,
Rebasage (Délai 1),Apr,315.0,Apr,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 2),Apr,0.0,Apr,
Wax Up (Délai 2) / Mock Up,Apr,60.0,Apr,
Plaque Palais / Metal Plate,Apr,210.0,Apr,
Plan traitement ortho,Apr,300.0,Apr,
Cire + Pei en un (délai 2) / All in one: Custom Tray Impression + Wax Rim,Apr,325.0,Apr,
Guide Chirurgical,Apr,420.0,Apr,
Finition Résine CTR (Délai 2),Apr,0.0,Apr,
Crochet Valplast / Valplast clasp,Apr,0.0,Apr,
Gouttière de désocclusion Délai 2 (DVO) / DISOCCLUSION TRAY,Apr,160.0,Apr,
Délai Express - 6 jours + 100%,Apr,90.0,Apr,
Gouttière de désocclusion Délai 1 (DVO) / DISOCCLUSION TRAY,Apr,560.0,Apr,
Cire + Pei en un (délai 1) / All in one: Custom Tray Impression + Wax Rim,Apr,60.0,Apr,
Rebasage MCI,Apr,0.0,Apr,
Délai Express - 2 jours + 40%,Apr,362.0,Apr,
Gouttière Bruxisme mixte (souple/dur) (Délai 2) / Hard & Soft Night Guard Tray,Apr,0.0,Apr,
Modèle Etude 3d,Apr,180.0,Apr,
Provisoire Multi (Délai 2) / Temporary Multilayer (Délai 2),Apr,0.0,Apr,
Mainteneur d'espace / Space retainer (cast ring),Apr,225.0,Apr,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 1),Apr,0.0,Apr,
Provisoire Multi (Délai 1) / Temporary Multilayer (Délai 1),Apr,0.0,Apr,
Option Clavette / Key Post Core,Apr,110.0,Apr,
Avis ortho,Apr,120.0,Apr,
Complet avec Plaque Métal Finition Directe (Délai 1) / Full Acrylic denture Direct Finishing WITH Metal PLATE,Apr,0.0,Apr,
Facette / Facet Veneer,Apr,20.0,Apr,
Délai Express - 4 jours + 70%,Apr,252.0,Apr,
Livraison Express,Apr,120.0,Apr,
Clef en Plâtre CTZ 1,Apr,360.0,Apr,
Délai Express - 5 jours + 85%,Apr,80.0,Apr,
SSA PMMA,Apr,0.0,Apr,
Complet avec Plaque Métal Essayage (Délai 2) / Full Acrylic denture Try In WITH Metal PLATE,Apr,0.0,Apr,
Supplément contre-plaquée,Apr,30.0,Apr,
Bridge TOBBI,Apr,600.0,Apr,
Finition Résine Complet sur implants (Délai 2),Apr,0.0,Apr,
Modèle d'étude,Apr,50.0,Apr,
Disjoncteur avec bagues (Délais 2),Apr,0.0,Apr,
Joint Céram / Porcelain butt margin,Apr,50.0,Apr,
Complet Transvissé Pmma CTP (Délai 1) / Bridge screwed retained PMMA/Temporary,Apr,0.0,Apr,
Complet Transvissé Résine (Délai 2),Apr,0.0,Apr,
PEI Projet Prothétique,Apr,0.0,Apr,
Plaque avec vérin de Hawley (Délai 2),Apr,0.0,Apr,
Design Couronne CAO W,Apr,0.0,Apr,
Cire Base dure (Délai 1),Apr,25.0,Apr,
Clef silicone (9-14 dents) / Mock Up Key,Apr,0.0,Apr,
Délai Express - 3 jours + 55%,Apr,0.0,Apr,
Finition Résine COMPLET SUR LOCATOR (Délai 1),Apr,0.0,Apr,
Arc de Nance avec bagues,Apr,0.0,Apr,
Réparation ou Adjonction (délai 2),Apr,25.0,Apr,
Cire base dure (Délai 2),Apr,0.0,Apr,
Complet avec Plaque Métal Essayage (Délai 1) / Full Acrylic denture Try In WITH Metal PLATE,Apr,0.0,Apr,
Grille de renfort,Apr,90.0,Apr,
Stellite PEEK (Délai 1) / CCP PEEK,Apr,360.0,Apr,
Céramique Gingivale / Pink Porcelain,Apr,0.0,Apr,
Clef silicone (1 a 4 dents)/ Mock Up Key,Apr,0.0,Apr,
Duplicata,Apr,0.0,Apr,
Finition Résine COMPLET SUR LOCATOR (Délai 2),Apr,0.0,Apr,
Supplément multi,Apr,0.0,Apr,
Clef silicone (5-8 dents) / Mock Up Key,Apr,40.0,Apr,
Gouttière sur Dent Pro,Apr,0.0,Apr,
Impression (Résine Spécial) Guide Chirurgical,Apr,80.0,Apr,
Rebasage (délai 2),Apr,0.0,Apr,
Chappe de réduction,Apr,50.0,Apr,
Clef validation emp. numérique,Apr,120.0,Apr,
Gouttière Blanchiment (Délai 2) / Bleaching tray,Apr,0.0,Apr,
Gouttière Bruxisme (Délai 2) / Only HARD Night guard tray,Apr,0.0,Apr,
Gouttière Provisoire,Apr,0.0,Apr,
Gouttières de Fluoration / Fluoridation Tray,Apr,0.0,Apr,
Plan de traitement suite avis Ortho,Apr,0.0,Apr,
Stellite PEEK (Délai 2) / CCP PEEK,Apr,0.0,Apr,
Plaque de Hawley (Délai 2),Apr,0.0,Apr,
Gouttière Bruxisme SOUPLE (Délai 1) / SOFT Guard Tray,Apr,0.0,Apr,
Gouttière Sport / Sport Guard Tray,Apr,0.0,Apr,
Cire Transvissée CTR 2,Apr,0.0,Apr,
Clef en platre,Apr,0.0,Apr,
Guide de positionnement rigide,Apr,12.0,Apr,
Design Pilier Perso CAO W,Apr,0.0,Apr,
Dents Supp PEEK (Délai 1) / Teeth,Apr,105.0,Apr,
Finition Résine Complet sur implants (Délai 1),Apr,0.0,Apr,
Stratification / Add porcelain,Apr,0.0,Apr,
Disjoncteur,Apr,0.0,Apr,
Fil de renfort / Rep,Apr,6.0,Apr,
Design Valplast CAO W,Apr,0.0,Apr,
Mise en articulation,Apr,0.0,Apr,
Attachement secours,Apr,0.0,Apr,
Dents Supp PEEK (Délai 2) / Teeth,Apr,0.0,Apr,
Réparation ou Adjonction (Délai 2),Apr,0.0,Apr,
Cire Transvissée CTZ 2,Apr,0.0,Apr,
Design Chassis CAO W,Apr,0.0,Apr,
Gouttière Mock Up,Apr,0.0,Apr,
Design Dents Supp CAO W,Apr,0.0,Apr,
Design Inlay Core CAO W,Apr,0.0,Apr,
Désolidarisation,Apr,5.0,Apr,
Design Sur Implant CAO W,Apr,0.0,Apr,
Design Wax Up CAO W,Apr,0.0,Apr,
Nettoyage Appareil,Apr,0.0,Apr,
MISC,Apr,-908.95,Apr,
Discount,Apr,-16038.0,Apr,
Zircone stratifié (Délai 2) / Zircone coping+porcelain,May,14490.0,May,
Céramo-métallique (délai 2) / PFM,May,16950.0,May,
Zircone Multi-couche (Délai 2) / Multilayer Dmax zircone,May,10010.0,May,
Inlay Core (Délai 2) / Post Core,May,10350.0,May,
Zircone Multi-couche (Délai 1) / Multilayer Dmax zircone,May,7020.0,May,
Zircone Stratifié (Délai 1) / Zircone coping+porcelain,May,17160.0,May,
Zircone Mono (délai 2) / Xtcera full zircone,May,8800.0,May,
Stellite Finition Direct (délai 2) / CCP + Acrylic direct finish,May,7590.0,May,
Inlay/Onlay Composite (Délai 2),May,6795.0,May,
Zircone Mono (délai 1) / Xtcera full zircone,May,9065.0,May,
Stellite Finition Direct (Délai 1) / CCP + Acrylic direct finish,May,4050.0,May,
Inlay Core (Délai 1) / Post Core,May,5325.0,May,
Partiel Résine Finition Directe (délais 2) / Partial acrylic denture,May,4620.0,May,
Céramo-métallique (délai 1) / PFM,May,4410.0,May,
Dents Supplémentaires (délai 2) / Tooth,May,4630.0,May,
Emax (Délai 2) / Emax Press,May,4480.0,May,
Partiel résine finition directe (délais 1) / Partial acrylic denture,May,5180.0,May,
Emax Onlay high translucide  HT(Délai 1),May,4320.0,May,
Complet Finition Direct (délai 2) / Full Acrylic denture,May,4950.0,May,
Inlay/Onlay composite (Délai 1),May,5487.0,May,
Emax Onlay high translucide  HT (Délai 2),May,2320.0,May,
Emax (Délai 1) / Emax Press,May,3600.0,May,
Dents supplémentaires (Délai 1) / Tooth,May,3320.0,May,
Stellite en Essayage (délai 2) / CCP + Wax Try in setup,May,2970.0,May,
Montage complet sur cire (essayage Délai 2) / Full wax try setup denture,May,3520.0,May,
Rajout Crochet,May,2470.0,May,
Provisoire (Délai 1) / Temporary Crown,May,2340.0,May,
Supplément Cr sur implant (délai 2) / Screwed Crown,May,2240.0,May,
Gouttière Bruxisme mixte (souple/dur) (Délai 1) / Hard & Soft Night Guard Tray,May,1760.0,May,
Montage Complet sur cire (essayage Délai 1) / Full wax try setup denture,May,2160.0,May,
Provisoire (Délai 2) / Temporary Crown,May,2175.0,May,
Complet Finition Direct (délai 1) / Full Acrylic denture,May,1540.0,May,
Finition Résine (Délai 1) / Acrylic finish,May,1280.0,May,
Réparation ou Adjonction (Délai 1),May,1680.0,May,
Stellite en Essayage (délai 1) / CCP + Wax Try in setup,May,1980.0,May,
Finition Résine (Délai 2) / Acrylic finish,May,1050.0,May,
Couronne Métallique (délai 2) / Cocr Metal crown,May,1680.0,May,
Gouttière Blanchiment (Délai 1) / Bleaching tray,May,2170.0,May,
Valplast (Délai 2) / Flibber Valplast Direct Finish,May,720.0,May,
Supplément Cr sur implant (délai 1) / Screwed Crown,May,1875.0,May,
Valplast (Délai 1) / Flibber Valplast Direct Finish,May,480.0,May,
Complet Transvissé Résine avec Barre Coulée CoCr / Complet Screwed Wax Try-in setup on casted CoCr Bar with Gingival Side in a BOAT HULL Form (Délai 2),May,600.0,May,
Emax stratifiée (Délai 2) / Emax Copying,May,440.0,May,
Gouttière Bruxisme (Délai 1) / Only HARD Night guard tray,May,455.0,May,
Complet Transvissé Résine Essayage avec Barre Titane / Complet Screwed Wax Try-in setup on TITANE bar with Gingival Side in a BOAT HULL form,May,0.0,May,
Gouttière Contention Ortho/ Contention Tray,May,520.0,May,
Emax stratifiée (Délai 1) / Emax Copying,May,1260.0,May,
Complet Transvissé Zircone CTZ (Délai 1) / Bridge screwed retainer Full Zircone,May,1800.0,May,
MCI Pmma,May,0.0,May,
Couronne Métallique (délai 1) / Cocr Metal crown,May,675.0,May,
Essayage Complet sur barre usinée TITANE avec Locators (Barre Contre Barre) / Complet Wax Try-in with counter Bar fitting on MILLED TITANE Bar with LOCATORS (Délai 2),May,0.0,May,
Option Maquillage Supplémentaire / Additional Shade,May,570.0,May,
Option ceramisé / Opaqued,May,560.0,May,
Soudure,May,240.0,May,
Rajout Dent / Tooth,May,470.0,May,
Custom Billing,May,512.0,May,
Pilier personnalisé,May,0.0,May,
Finition Résine CTR (Délai 1),May,0.0,May,
Wax Up (Délai 1) / Mock Up,May,1020.0,May,
Attachement,May,100.0,May,
SSA Zircone MULTI,May,0.0,May,
Barre (fil) contention / contention wire,May,250.0,May,
PEI (délai 2) / Custom Impression Tray,May,345.0,May,
Gouttière Bruxisme SOUPLE (Délai 2) / SOFT Guard Tray,May,595.0,May,
Option Fraisé / Milled Wall,May,0.0,May,
PEI (délai 1) / Custom Impression Tray,May,280.0,May,
Gouttières Ortho / Orthodontic Tray,May,300.0,May,
Délai Express - 1 jour + 25%,May,370.0,May,
Partiel cire essayage (délai 2) / Partial wax try in setup denture,May,210.0,May,
Cire (délai 2) / Wax Rim,May,340.0,May,
Chape guide réduction,May,320.0,May,
Cire (délai 1) / Wax Rim,May,225.0,May,
CTCCM complet transvissé CCM / COMPLET SCREWED PFM BRIDGE,May,0.0,May,
Partiel cire essayage (délai 1) / Partial wax try in setup denture,May,665.0,May,
Rebasage (Délai 1),May,270.0,May,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 2),May,0.0,May,
Wax Up (Délai 2) / Mock Up,May,40.0,May,
Plaque Palais / Metal Plate,May,140.0,May,
Plan traitement ortho,May,600.0,May,
Cire + Pei en un (délai 2) / All in one: Custom Tray Impression + Wax Rim,May,125.0,May,
Guide Chirurgical,May,240.0,May,
Finition Résine CTR (Délai 2),May,200.0,May,
Crochet Valplast / Valplast clasp,May,0.0,May,
Gouttière de désocclusion Délai 2 (DVO) / DISOCCLUSION TRAY,May,640.0,May,
Délai Express - 6 jours + 100%,May,0.0,May,
Gouttière de désocclusion Délai 1 (DVO) / DISOCCLUSION TRAY,May,0.0,May,
Cire + Pei en un (délai 1) / All in one: Custom Tray Impression + Wax Rim,May,60.0,May,
Rebasage MCI,May,0.0,May,
Délai Express - 2 jours + 40%,May,261.0,May,
Gouttière Bruxisme mixte (souple/dur) (Délai 2) / Hard & Soft Night Guard Tray,May,0.0,May,
Modèle Etude 3d,May,225.0,May,
Provisoire Multi (Délai 2) / Temporary Multilayer (Délai 2),May,0.0,May,
Mainteneur d'espace / Space retainer (cast ring),May,90.0,May,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 1),May,0.0,May,
Provisoire Multi (Délai 1) / Temporary Multilayer (Délai 1),May,0.0,May,
Option Clavette / Key Post Core,May,110.0,May,
Avis ortho,May,120.0,May,
Complet avec Plaque Métal Finition Directe (Délai 1) / Full Acrylic denture Direct Finishing WITH Metal PLATE,May,0.0,May,
Facette / Facet Veneer,May,20.0,May,
Délai Express - 4 jours + 70%,May,0.0,May,
Livraison Express,May,50.0,May,
Clef en Plâtre CTZ 1,May,120.0,May,
Délai Express - 5 jours + 85%,May,42.0,May,
SSA PMMA,May,0.0,May,
Complet avec Plaque Métal Essayage (Délai 2) / Full Acrylic denture Try In WITH Metal PLATE,May,0.0,May,
Supplément contre-plaquée,May,20.0,May,
Bridge TOBBI,May,0.0,May,
Finition Résine Complet sur implants (Délai 2),May,0.0,May,
Modèle d'étude,May,70.0,May,
Disjoncteur avec bagues (Délais 2),May,0.0,May,
Joint Céram / Porcelain butt margin,May,10.0,May,
Complet Transvissé Pmma CTP (Délai 1) / Bridge screwed retained PMMA/Temporary,May,0.0,May,
Complet Transvissé Résine (Délai 2),May,0.0,May,
PEI Projet Prothétique,May,50.0,May,
Plaque avec vérin de Hawley (Délai 2),May,0.0,May,
Design Couronne CAO W,May,0.0,May,
Cire Base dure (Délai 1),May,100.0,May,
Clef silicone (9-14 dents) / Mock Up Key,May,120.0,May,
Délai Express - 3 jours + 55%,May,35.0,May,
Finition Résine COMPLET SUR LOCATOR (Délai 1),May,0.0,May,
Arc de Nance avec bagues,May,0.0,May,
Réparation ou Adjonction (délai 2),May,25.0,May,
Cire base dure (Délai 2),May,0.0,May,
Complet avec Plaque Métal Essayage (Délai 1) / Full Acrylic denture Try In WITH Metal PLATE,May,0.0,May,
Grille de renfort,May,45.0,May,
Stellite PEEK (Délai 1) / CCP PEEK,May,0.0,May,
Céramique Gingivale / Pink Porcelain,May,0.0,May,
Clef silicone (1 a 4 dents)/ Mock Up Key,May,140.0,May,
Duplicata,May,150.0,May,
Finition Résine COMPLET SUR LOCATOR (Délai 2),May,0.0,May,
Supplément multi,May,0.0,May,
Clef silicone (5-8 dents) / Mock Up Key,May,40.0,May,
Gouttière sur Dent Pro,May,0.0,May,
Impression (Résine Spécial) Guide Chirurgical,May,40.0,May,
Rebasage (délai 2),May,0.0,May,
Chappe de réduction,May,60.0,May,
Clef validation emp. numérique,May,0.0,May,
Gouttière Blanchiment (Délai 2) / Bleaching tray,May,0.0,May,
Gouttière Bruxisme (Délai 2) / Only HARD Night guard tray,May,0.0,May,
Gouttière Provisoire,May,0.0,May,
Gouttières de Fluoration / Fluoridation Tray,May,0.0,May,
Plan de traitement suite avis Ortho,May,0.0,May,
Stellite PEEK (Délai 2) / CCP PEEK,May,0.0,May,
Plaque de Hawley (Délai 2),May,0.0,May,
Gouttière Bruxisme SOUPLE (Délai 1) / SOFT Guard Tray,May,0.0,May,
Gouttière Sport / Sport Guard Tray,May,0.0,May,
Cire Transvissée CTR 2,May,0.0,May,
Clef en platre,May,0.0,May,
Guide de positionnement rigide,May,6.0,May,
Design Pilier Perso CAO W,May,0.0,May,
Dents Supp PEEK (Délai 1) / Teeth,May,0.0,May,
Finition Résine Complet sur implants (Délai 1),May,0.0,May,
Stratification / Add porcelain,May,0.0,May,
Disjoncteur,May,0.0,May,
Fil de renfort / Rep,May,3.0,May,
Design Valplast CAO W,May,0.0,May,
Mise en articulation,May,15.0,May,
Attachement secours,May,50.0,May,
Dents Supp PEEK (Délai 2) / Teeth,May,0.0,May,
Réparation ou Adjonction (Délai 2),May,0.0,May,
Cire Transvissée CTZ 2,May,0.0,May,
Design Chassis CAO W,May,0.0,May,
Gouttière Mock Up,May,0.0,May,
Design Dents Supp CAO W,May,0.0,May,
Design Inlay Core CAO W,May,0.0,May,
Désolidarisation,May,0.0,May,
Design Sur Implant CAO W,May,0.0,May,
Design Wax Up CAO W,May,0.0,May,
Nettoyage Appareil,May,0.0,May,
MISC,May,-4773.56,May,
Discount,May,-22616.0,May,
Zircone stratifié (Délai 2) / Zircone coping+porcelain,Jun,19980.0,Jun,
Céramo-métallique (délai 2) / PFM,Jun,19200.0,Jun,
Zircone Multi-couche (Délai 2) / Multilayer Dmax zircone,Jun,12675.0,Jun,
Inlay Core (Délai 2) / Post Core,Jun,14430.0,Jun,
Zircone Multi-couche (Délai 1) / Multilayer Dmax zircone,Jun,10920.0,Jun,
Zircone Stratifié (Délai 1) / Zircone coping+porcelain,Jun,8760.0,Jun,
Zircone Mono (délai 2) / Xtcera full zircone,Jun,12925.0,Jun,
Stellite Finition Direct (délai 2) / CCP + Acrylic direct finish,Jun,11990.0,Jun,
Inlay/Onlay Composite (Délai 2),Jun,10170.0,Jun,
Zircone Mono (délai 1) / Xtcera full zircone,Jun,9300.0,Jun,
Stellite Finition Direct (Délai 1) / CCP + Acrylic direct finish,Jun,7200.0,Jun,
Inlay Core (Délai 1) / Post Core,Jun,5460.0,Jun,
Partiel Résine Finition Directe (délais 2) / Partial acrylic denture,Jun,9100.0,Jun,
Céramo-métallique (délai 1) / PFM,Jun,8460.0,Jun,
Dents Supplémentaires (délai 2) / Tooth,Jun,8340.0,Jun,
Emax (Délai 2) / Emax Press,Jun,6420.0,Jun,
Partiel résine finition directe (délais 1) / Partial acrylic denture,Jun,7420.0,Jun,
Emax Onlay high translucide  HT(Délai 1),Jun,5220.0,Jun,
Complet Finition Direct (délai 2) / Full Acrylic denture,Jun,4730.0,Jun,
Inlay/Onlay composite (Délai 1),Jun,4720.0,Jun,
Emax Onlay high translucide  HT (Délai 2),Jun,4000.0,Jun,
Emax (Délai 1) / Emax Press,Jun,5310.0,Jun,
Dents supplémentaires (Délai 1) / Tooth,Jun,4080.0,Jun,
Stellite en Essayage (délai 2) / CCP + Wax Try in setup,Jun,3850.0,Jun,
Montage complet sur cire (essayage Délai 2) / Full wax try setup denture,Jun,3520.0,Jun,
Rajout Crochet,Jun,4250.0,Jun,
Provisoire (Délai 1) / Temporary Crown,Jun,1920.0,Jun,
Supplément Cr sur implant (délai 2) / Screwed Crown,Jun,2720.0,Jun,
Gouttière Bruxisme mixte (souple/dur) (Délai 1) / Hard & Soft Night Guard Tray,Jun,2560.0,Jun,
Montage Complet sur cire (essayage Délai 1) / Full wax try setup denture,Jun,2340.0,Jun,
Provisoire (Délai 2) / Temporary Crown,Jun,1750.0,Jun,
Complet Finition Direct (délai 1) / Full Acrylic denture,Jun,2200.0,Jun,
Finition Résine (Délai 1) / Acrylic finish,Jun,2080.0,Jun,
Réparation ou Adjonction (Délai 1),Jun,1710.0,Jun,
Stellite en Essayage (délai 1) / CCP + Wax Try in setup,Jun,2340.0,Jun,
Finition Résine (Délai 2) / Acrylic finish,Jun,2170.0,Jun,
Couronne Métallique (délai 2) / Cocr Metal crown,Jun,1560.0,Jun,
Gouttière Blanchiment (Délai 1) / Bleaching tray,Jun,1540.0,Jun,
Valplast (Délai 2) / Flibber Valplast Direct Finish,Jun,1920.0,Jun,
Supplément Cr sur implant (délai 1) / Screwed Crown,Jun,1050.0,Jun,
Valplast (Délai 1) / Flibber Valplast Direct Finish,Jun,1280.0,Jun,
Complet Transvissé Résine avec Barre Coulée CoCr / Complet Screwed Wax Try-in setup on casted CoCr Bar with Gingival Side in a BOAT HULL Form (Délai 2),Jun,600.0,Jun,
Emax stratifiée (Délai 2) / Emax Copying,Jun,1100.0,Jun,
Gouttière Bruxisme (Délai 1) / Only HARD Night guard tray,Jun,665.0,Jun,
Complet Transvissé Résine Essayage avec Barre Titane / Complet Screwed Wax Try-in setup on TITANE bar with Gingival Side in a BOAT HULL form,Jun,1400.0,Jun,
Gouttière Contention Ortho/ Contention Tray,Jun,640.0,Jun,
Emax stratifiée (Délai 1) / Emax Copying,Jun,280.0,Jun,
Complet Transvissé Zircone CTZ (Délai 1) / Bridge screwed retainer Full Zircone,Jun,0.0,Jun,
MCI Pmma,Jun,0.0,Jun,
Couronne Métallique (délai 1) / Cocr Metal crown,Jun,855.0,Jun,
Essayage Complet sur barre usinée TITANE avec Locators (Barre Contre Barre) / Complet Wax Try-in with counter Bar fitting on MILLED TITANE Bar with LOCATORS (Délai 2),Jun,0.0,Jun,
Option Maquillage Supplémentaire / Additional Shade,Jun,940.0,Jun,
Option ceramisé / Opaqued,Jun,630.0,Jun,
Soudure,Jun,540.0,Jun,
Rajout Dent / Tooth,Jun,520.0,Jun,
Custom Billing,Jun,3038.0,Jun,
Pilier personnalisé,Jun,200.0,Jun,
Finition Résine CTR (Délai 1),Jun,0.0,Jun,
Wax Up (Délai 1) / Mock Up,Jun,450.0,Jun,
Attachement,Jun,500.0,Jun,
SSA Zircone MULTI,Jun,0.0,Jun,
Barre (fil) contention / contention wire,Jun,600.0,Jun,
PEI (délai 2) / Custom Impression Tray,Jun,510.0,Jun,
Gouttière Bruxisme SOUPLE (Délai 2) / SOFT Guard Tray,Jun,490.0,Jun,
Option Fraisé / Milled Wall,Jun,480.0,Jun,
PEI (délai 1) / Custom Impression Tray,Jun,240.0,Jun,
Gouttières Ortho / Orthodontic Tray,Jun,960.0,Jun,
Délai Express - 1 jour + 25%,Jun,52.0,Jun,
Partiel cire essayage (délai 2) / Partial wax try in setup denture,Jun,560.0,Jun,
Cire (délai 2) / Wax Rim,Jun,360.0,Jun,
Chape guide réduction,Jun,180.0,Jun,
Cire (délai 1) / Wax Rim,Jun,210.0,Jun,
CTCCM complet transvissé CCM / COMPLET SCREWED PFM BRIDGE,Jun,0.0,Jun,
Partiel cire essayage (délai 1) / Partial wax try in setup denture,Jun,190.0,Jun,
Rebasage (Délai 1),Jun,225.0,Jun,
Essayage COMPLET Résine sur Locator / COMPLET Wax Try-in : Leave Enough Space for future male part of LOCATOR (Délai 2),Jun,0.0,Jun,
Wax Up (Délai 2) / Mock Up,Jun,70.0,Jun,
Plaque Palais / Metal Plate,Jun,70.0,Jun,
